,n,l,loss_1,loss_2,loss_3,loss_4,loss_5,loss_6,loss_7,loss_8,loss_9,loss_10
0,16.0,1.0,0.29538223147392273,0.25513842701911926,0.23759880661964417,0.23090949654579163,0.2250167727470398,0.21622292697429657,0.21241408586502075,0.21432973444461823,0.21097344160079956,0.20852015912532806
1,32.0,1.0,0.22063596546649933,0.16713780164718628,0.15271861851215363,0.13518139719963074,0.13441433012485504,0.12886309623718262,0.12565062940120697,0.12159568071365356,0.12371101975440979,0.11862950772047043
2,128.0,1.0,0.1409704089164734,0.1042623296380043,0.0913223847746849,0.07881367206573486,0.0775671973824501,0.07054135203361511,0.0748937726020813,0.07686333358287811,0.07868701219558716,0.07192309945821762
3,264.0,1.0,0.12169548124074936,0.0919593870639801,0.07743901014328003,0.06781312078237534,0.0698210671544075,0.06569447368383408,0.05761662498116493,0.06649518758058548,0.06900137662887573,0.06143994256854057
4,512.0,1.0,0.11162794381380081,0.07921172678470612,0.07472386211156845,0.0627451092004776,0.06899881362915039,0.07388713210821152,0.07073061168193817,0.06439685821533203,0.0699007660150528,0.07494158297777176
5,16.0,2.0,0.3319301903247833,0.27491500973701477,0.25623878836631775,0.2408144772052765,0.2321576178073883,0.22797055542469025,0.22358889877796173,0.22412632405757904,0.22372473776340485,0.22088603675365448
6,32.0,2.0,0.23001979291439056,0.17778845131397247,0.15806043148040771,0.14804504811763763,0.15062181651592255,0.1436716616153717,0.135854572057724,0.1290542334318161,0.12770779430866241,0.12512649595737457
7,128.0,2.0,0.12438420206308365,0.09795264899730682,0.09555460512638092,0.08189579099416733,0.08138248324394226,0.08890359103679657,0.06761781126260757,0.07277698069810867,0.07372346520423889,0.07757523655891418
8,264.0,2.0,0.107428640127182,0.09564699977636337,0.08421602100133896,0.0811702236533165,0.0747852772474289,0.07405934482812881,0.06518630683422089,0.07226619124412537,0.07385659962892532,0.07616687566041946
9,512.0,2.0,0.09338470548391342,0.08456344902515411,0.07580298185348511,0.07950815558433533,0.07455822825431824,0.07678994536399841,0.06688421219587326,0.10183614492416382,0.08513780683279037,0.08109539747238159
10,16.0,3.0,0.36657512187957764,0.30036258697509766,0.29389679431915283,0.2666909694671631,0.26447343826293945,0.2653539776802063,0.26317116618156433,0.26026973128318787,0.2571626603603363,0.2569844126701355
11,32.0,3.0,0.2555215358734131,0.20375490188598633,0.18171942234039307,0.16971884667873383,0.1570589244365692,0.16319890320301056,0.15006594359874725,0.15832071006298065,0.1454920917749405,0.14554989337921143
12,128.0,3.0,0.13283538818359375,0.11182425171136856,0.0908828005194664,0.09358414262533188,0.08752688020467758,0.082491435110569,0.0742189958691597,0.07301384955644608,0.0748405009508133,0.07481670379638672
13,264.0,3.0,0.1263856142759323,0.09811669588088989,0.07852640748023987,0.08730520308017731,0.07923666387796402,0.09223414957523346,0.07086753845214844,0.0921669527888298,0.07526011765003204,0.0852539986371994
14,512.0,3.0,0.12415636330842972,0.09162584692239761,0.10310377180576324,0.0804133489727974,0.09618676453828812,0.06675019860267639,0.08348101377487183,0.07998774200677872,0.09540839493274689,0.09589435160160065
